loc,tim,val,loc2,tim2,val2,loc3,tim3,val3,loc4,tim4,val4,loc5,tim5,val5,loc6,tim6,val6
AUS,2001,90.887577,DNK,2001,90.605822,DEU,2001,92.341573,KOR,2001,65.599428,GBR,2001,88.834911,USA,2001,83.146297
AUS,2002,92.226168,DNK,2002,91.350747,DEU,2002,93.474978,KOR,2002,69.559428,GBR,2002,91.14189,USA,2002,85.527421
AUS,2003,94.293957,DNK,2003,92.858381,DEU,2003,94.23223,KOR,2003,72.895464,GBR,2003,94.039668,USA,2003,88.112277
AUS,2004,94.023017,DNK,2004,95.82357,DEU,2004,95.17113,KOR,2004,75.975922,GBR,2004,96.214856,USA,2004,90.393114
AUS,2005,94.578004,DNK,2005,97.135276,DEU,2005,96.613922,KOR,2005,79.256404,GBR,2005,96.945392,USA,2005,92.170209
AUS,2006,95.038909,DNK,2006,98.415412,DEU,2006,98.473053,KOR,2006,82.486984,GBR,2006,98.724272,USA,2006,92.911402
AUS,2007,96.22534,DNK,2007,98.596919,DEU,2007,99.966559,KOR,2007,87.427883,GBR,2007,100.298962,USA,2007,93.827435
AUS,2008,99.485951,DNK,2008,97.129077,DEU,2008,100.153984,KOR,2008,91.763094,GBR,2008,100.132523,USA,2008,94.545546
AUS,2009,98.464669,DNK,2009,96.233836,DEU,2009,97.586251,KOR,2009,93.255555,GBR,2009,97.68867,USA,2009,97.281818
AUS,2010,100,DNK,2010,100,DEU,2010,100,KOR,2010,100,GBR,2010,100,USA,2010,100
AUS,2011,100.917985,DNK,2011,100.346242,DEU,2011,102.056115,KOR,2011,106.642965,GBR,2011,100.182249,USA,2011,100.209358
AUS,2012,103.353057,DNK,2012,102.264109,DEU,2012,102.689448,KOR,2012,103.535194,GBR,2012,99.523403,USA,2012,100.448015
AUS,2013,105.150797,DNK,2013,103.068259,DEU,2013,103.510777,KOR,2013,109.102107,GBR,2013,99.6416,USA,2013,100.670727
AUS,2014,105.911898,DNK,2014,104.602768,DEU,2014,104.267643,KOR,2014,108.073728,GBR,2014,99.92592,USA,2014,101.231657
AUS,2015,108.747535,DNK,2015,105.107828,DEU,2015,105.090946,KOR,2015,110.145762,GBR,2015,101.444155,USA,2015,101.968553
AUS,2016,110.322574,DNK,2016,105.338287,DEU,2016,106.14408,,,,GBR,2016,100.902493,USA,2016,102.15564
