Country,Time,Value,Country2,Time2,Value2,Country3,Time3,Value3,Country4,Time4,Value4,Country5,Time5,Value5,Country6,Time6,Value6
Australia,2001,43.90829221,Korea,2001,53.56073071,Germany,2001,41.3002077,United Kingdom,2001,43.85514148,United States,2001,41.77495989,Denmark,2001,39.72166852
Australia,2002,43.7837597,Korea,2002,52.98337591,Germany,2002,41.17025725,United Kingdom,2002,43.56826275,United States,2002,41.69978177,Denmark,2002,39.72661741
Australia,2003,43.74635095,Korea,2003,52.40211302,Germany,2003,40.73389251,United Kingdom,2003,43.38573118,United States,2003,41.60330676,Denmark,2003,39.73275031
Australia,2004,43.57840492,Korea,2004,52.23191063,Germany,2004,41.04240818,United Kingdom,2004,43.18461032,United States,2004,41.64445637,Denmark,2004,39.68389273
Australia,2005,43.49295671,Korea,2005,51.79528622,Germany,2005,41.16272339,United Kingdom,2005,42.97766354,United States,2005,41.63498892,Denmark,2005,39.87614923
Australia,2006,43.27663304,Korea,2006,51.49745942,Germany,2006,41.16523098,United Kingdom,2006,42.86012778,United States,2006,41.72190832,Denmark,2006,39.77633407
Australia,2007,43.30769834,Korea,2007,50.58541795,Germany,2007,41.0952025,United Kingdom,2007,42.86294314,United States,2007,41.68912789,Denmark,2007,38.3645812
Australia,2008,43.26984808,Korea,2008,49.57799079,Germany,2008,41.1254886,United Kingdom,2008,42.77587852,United States,2008,41.56160411,Denmark,2008,38.32082897
Australia,2009,43.04912338,Korea,2009,49.73320537,Germany,2009,41.2198661,United Kingdom,2009,42.60816969,United States,2009,41.33972904,Denmark,2009,38.17795307
Australia,2010,42.97465335,Korea,2010,49.20816883,Germany,2010,41.15996463,United Kingdom,2010,42.62256063,United States,2010,41.41249863,Denmark,2010,38.20904623
Australia,2011,42.92537756,Korea,2011,48.67732068,Germany,2011,41.19939096,United Kingdom,2011,42.60651198,United States,2011,41.44530384,Denmark,2011,38.3334471
Australia,2012,42.93023612,Korea,2012,48.49775675,Germany,2012,41.1771075,United Kingdom,2012,42.6303601,United States,2012,41.5233639,Denmark,2012,38.2688953
Australia,2013,42.83936655,Korea,2013,47.0366761,Germany,2013,40.98339548,United Kingdom,2013,42.66366938,United States,2013,41.50685563,Denmark,2013,38.25566656
Australia,2014,42.59999341,Korea,2014,47.70386943,Germany,2014,40.8493741,United Kingdom,2014,42.73374429,United States,2014,41.60391945,Denmark,2014,38.28696989
Australia,2015,42.58481791,Korea,2015,47.5369281,Germany,2015,40.71491102,United Kingdom,2015,42.6720097,United States,2015,41.56088508,Denmark,2015,38.45103003
Australia,2016,42.46048168,Korea,2016,46.87591449,Germany,2016,40.62399549,United Kingdom,2016,42.56907982,United States,2016,41.54250535,Denmark,2016,38.28949994
